Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: https://twitter.com/nyupoly?lang=pt, time: 2013-02-17T20:53:10.159495, size: 217023 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=fr, time: 2013-02-17T20:53:13.030978, size: 216839 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=cs, time: 2013-02-17T20:53:13.559943, size: 216014 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=ur, time: 2013-02-17T20:53:16.280042, size: 223081 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=ar, time: 2013-02-17T20:53:17.526923, size: 222147 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=zh-cn, time: 2013-02-17T20:53:19.325690, size: 215563 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=zh-tw, time: 2013-02-17T20:53:20.411517, size: 215853 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/bio/Allen-Grove-40797.htm, time: 2013-02-17T20:53:21.148371, size: 14217 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly/following, time: 2013-02-17T20:53:21.975517, size: 68728 bytes, return code: 200, depth: 1
URL: http://vimeo.com/jobs, time: 2013-02-17T20:53:23.223691, size: 54599 bytes, return code: 200, depth: 1
URL: http://vimeo.com/new, time: 2013-02-17T20:53:25.592426, size: 34660 bytes, return code: 200, depth: 1
URL: http://vimeo.com/love, time: 2013-02-17T20:53:25.819522, size: 35481 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-graduate-schools/top-graduate-schools/polytechnic-institute-of-new-york-university-194541, time: 2013-02-17T20:53:26.285847, size: 37731 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-institute-of-new-york-university-194541/friends, time: 2013-02-17T20:53:26.345028, size: 22559 bytes, return code: 200, depth: 1
URL: http://twitter.com/usnewseducation, time: 2013-02-17T20:53:27.824085, size: 210325 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796/photos, time: 2013-02-17T20:53:28.730991, size: 22612 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/best-colleges/applying, time: 2013-02-17T20:53:29.008342, size: 49716 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/polytechnic-nyu-2796/campus-info, time: 2013-02-17T20:53:29.372315, size: 49801 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/best-colleges/paying-for-college, time: 2013-02-17T20:53:29.641453, size: 53799 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/myfit, time: 2013-02-17T20:53:29.766294, size: 7466 bytes, return code: 200, depth: 1
URL: http://twitter.com/#!/nyupoly, time: 2013-02-17T20:53:29.885884, size: 74148 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/sat/a/sat-score-explanation.htm, time: 2013-02-17T20:53:30.403231, size: 23009 bytes, return code: 200, depth: 1
URL: https://support.twitter.com, time: 2013-02-17T20:53:31.525048, size: 8429 bytes, return code: 200, depth: 1
URL: http://clk.about.com/?zi=1/XL&sdn=collegeapps&zu=http%3A%2F%2Ftracking.cappex.com%2Faff_c%3Foffer_id%3D8%26aff_id%3D1038%26%26params%3D%252526brand%25253Dabout%252526version%25253Dscattergram%252526collegeID%25253D194541, time: 2013-02-17T20:53:31.917623, size: 64772 bytes, return code: 200, depth: 1
URL: https://twitter.com/tos, time: 2013-02-17T20:53:31.988564, size: 32585 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/collegerankings/tp/Top-Engineering-Schools.htm, time: 2013-02-17T20:53:32.283264, size: 34467 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/about, time: 2013-02-17T20:53:32.390643, size: 17222 bytes, return code: 200, depth: 1
URL: http://www.cappex.com/colleges/Polytechnic-Institute-of-New-York-University-194541#modularProfileScholarships, time: 2013-02-17T20:53:32.730661, size: 53010 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/choosingacollege/ss/Choosing-The-Perfect-College.htm, time: 2013-02-17T20:53:32.730757, size: 27274 bytes, return code: 200, depth: 1
URL: https://twitter.com/privacy, time: 2013-02-17T20:53:33.294417, size: 24737 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/theartofgettingaccepted/ss/bad-facebook-photos.htm, time: 2013-02-17T20:53:33.673676, size: 24113 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/collegeprofiles/p/new-mexico-tech.htm, time: 2013-02-17T20:53:33.971938, size: 25523 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/life/student-resources/registrar, time: 2013-02-17T20:53:34.033709, size: 18038 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/admissions/graduate/admitted, time: 2013-02-17T20:53:34.271014, size: 24069 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/academics/bsms, time: 2013-02-17T20:53:34.458033, size: 18457 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/life/student-resources/registrar/academic-calendar, time: 2013-02-17T20:53:34.733178, size: 29424 bytes, return code: 200, depth: 1
URL: http://aftercollege.com, time: 2013-02-17T20:53:35.985276, size: 88413 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/online-education/slideshows/10-big-mistakes-online-students-make, time: 2013-02-17T20:53:37.117963, size: 30682 bytes, return code: 200, depth: 1
URL: http://distancelearn.about.com/lw/Education/Home-schooling-Nontraditiona/Worcester-Polytechnic-Institute-Online-Profile.htm, time: 2013-02-17T20:53:37.446207, size: 21513 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/collegeprofiles/p/suny-albany.htm, time: 2013-02-17T20:53:37.474420, size: 27595 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/usnews/usinfo/staff.htm, time: 2013-02-17T20:53:37.574347, size: 21613 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/research, time: 2013-02-17T20:53:38.039467, size: 17423 bytes, return code: 200, depth: 1
URL: http://blog.twitter.com, time: 2013-02-17T20:53:38.376518, size: 110962 bytes, return code: 200, depth: 1
URL: http://catalog.poly.edu, time: 2013-02-17T20:53:38.601442, size: 33837 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/research/labs, time: 2013-02-17T20:53:38.846927, size: 29308 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/choosingacollege/a/CollegeProfiles.htm, time: 2013-02-17T20:53:38.988476, size: 44877 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/admissionstimeline/tp/11th-grade-college-preparation.htm, time: 2013-02-17T20:53:39.261892, size: 27186 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/business, time: 2013-02-17T20:53:39.262001, size: 17160 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/choosingacollege/Choosing_a_College.htm, time: 2013-02-17T20:53:39.418094, size: 28092 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/admissionstimeline/College_Admissions_Timeline.htm, time: 2013-02-17T20:53:39.817084, size: 21621 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/extracurricular/Extracurricular-Activities.htm, time: 2013-02-17T20:53:39.817180, size: 22171 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/standardizedtests/Standardized_Tests_PSAT_SAT_ACT_and_TOEFL.htm, time: 2013-02-17T20:53:40.140710, size: 20014 bytes, return code: 200, depth: 1
URL: http://mediakit.usnews.com/, time: 2013-02-17T20:53:40.214279, size: 4542 bytes, return code: 200, depth: 1
URL: http://status.twitter.com, time: 2013-02-17T20:53:40.583279, size: 22190 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/business/nyc-seed, time: 2013-02-17T20:53:41.256704, size: 15481 bytes, return code: 200, depth: 1
URL: http://www.nycmedialab.org/, time: 2013-02-17T20:53:41.373847, size: 32490 bytes, return code: 200, depth: 1
URL: https://twitter.com/jobs, time: 2013-02-17T20:53:41.874032, size: 13888 bytes, return code: 200, depth: 1
URL: https://twitter.com/download, time: 2013-02-17T20:53:42.324881, size: 70661 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/k12stem, time: 2013-02-17T20:53:42.494894, size: 16951 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/life/graduate, time: 2013-02-17T20:53:42.675885, size: 16823 bytes, return code: 200, depth: 1
