Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://www.poly.edu/academics/code-of-conduct, time: 2013-02-17T21:03:28.816926, size: 20108 bytes, return code: 200, depth: 1
URL: http://catalog.poly.edu, time: 2013-02-17T21:03:28.986086, size: 33837 bytes, return code: 200, depth: 1
URL: http://www.nycmedialab.org/, time: 2013-02-17T21:03:30.361421, size: 32490 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/research/cross-institution, time: 2013-02-17T21:03:30.558399, size: 27613 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/business/powerbridgeny, time: 2013-02-17T21:03:31.321012, size: 20075 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/life/orientation, time: 2013-02-17T21:03:32.104430, size: 17574 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/about/past-present-future, time: 2013-02-17T21:03:32.995338, size: 16555 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/news/2013/02/02/dangers-too-much-java, time: 2013-02-17T21:03:33.846866, size: 24693 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/events/2013/02/20/poly-coffee-sessions, time: 2013-02-17T21:03:34.934784, size: 42414 bytes, return code: 200, depth: 1
URL: https://support.twitter.com, time: 2013-02-17T21:03:35.081232, size: 8429 bytes, return code: 200, depth: 1
URL: http://blog.twitter.com, time: 2013-02-17T21:03:35.166755, size: 110962 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/products/features/home, time: 2013-02-17T21:03:35.858852, size: 36462 bytes, return code: 200, depth: 1
URL: https://secure.palmcoastd.com/pcd/document?ikey=020DA9H50, time: 2013-02-17T21:03:35.966376, size: 594 bytes, return code: 200, depth: 1
URL: http://status.twitter.com, time: 2013-02-17T21:03:36.005115, size: 22190 bytes, return code: 200, depth: 1
URL: https://twitter.com/tos, time: 2013-02-17T21:03:36.005217, size: 32577 bytes, return code: 200, depth: 1
