Listing all pages crawled in BFS order for query: holiday, for n: 500
URL: http://www.fueleconomy.gov/feg/gasprices/states/index.shtml, time: 2013-02-15T11:24:33.915180, size: 38988 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/shopping/shopping.shtml, time: 2013-02-15T11:24:34.127135, size: 24391 bytes, return code: 200, depth: 2
URL: http://blog.usa.gov/tagged/space, time: 2013-02-15T11:24:34.445868, size: 50570 bytes, return code: 200, depth: 2
URL: http://blog.usa.gov/tagged/health, time: 2013-02-15T11:24:34.681085, size: 46452 bytes, return code: 200, depth: 2
URL: http://blog.usa.gov/tagged/family, time: 2013-02-15T11:24:34.921607, size: 45921 bytes, return code: 200, depth: 2
URL: http://blog.usa.gov/tagged/science, time: 2013-02-15T11:24:35.184542, size: 49605 bytes, return code: 200, depth: 2
URL: http://blog.usa.gov/tagged/safety, time: 2013-02-15T11:24:35.476184, size: 48387 bytes, return code: 200, depth: 2
URL: http://blog.usa.gov/tagged/history, time: 2013-02-15T11:24:35.769207, size: 46442 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/All_Topics.shtml, time: 2013-02-15T11:24:35.957560, size: 30882 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Education-Training.shtml, time: 2013-02-15T11:24:36.217130, size: 27631 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Family.shtml, time: 2013-02-15T11:24:36.914584, size: 25584 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/PublicSafety.shtml, time: 2013-02-15T11:24:37.524582, size: 26617 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Health.shtml, time: 2013-02-15T11:24:37.714809, size: 28093 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Travel.shtml, time: 2013-02-15T11:24:37.963838, size: 26612 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Money-Taxes.shtml, time: 2013-02-15T11:24:38.184967, size: 27811 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Environment-Agriculture.shtml, time: 2013-02-15T11:24:38.397887, size: 28705 bytes, return code: 200, depth: 2
URL: http://www.usa.gov/Citizen/Topics/Benefits.shtml, time: 2013-02-15T11:24:38.668536, size: 46853 bytes, return code: 200, depth: 2
URL: http://1.usa.gov/pJsqcZ, time: 2013-02-15T11:24:41.743940, size: 51259 bytes, return code: 200, depth: 2
URL: http://www.archives.gov/legislative/features/washington/, time: 2013-02-15T11:24:42.585200, size: 26358 bytes, return code: 200, depth: 2
URL: http://www.archives.gov/news/federal-holidays.html, time: 2013-02-15T11:24:43.050717, size: 23601 bytes, return code: 200, depth: 2
URL: http://www.whitehouse.gov/about/presidents/, time: 2013-02-15T11:24:43.377600, size: 60807 bytes, return code: 200, depth: 2
URL: http://www.godirect.org/social-security-federal-benefits-direct-deposit/, time: 2013-02-15T11:24:43.877402, size: 31640 bytes, return code: 200, depth: 2
URL: http://kidshealth.org/parent/firstaid_safe/sheets/tooth_sheet.html, time: 2013-02-15T11:24:47.219563, size: 10500 bytes, return code: 200, depth: 2
URL: http://www.insurekidsnow.gov/chip/index.html, time: 2013-02-15T11:24:47.636268, size: 15508 bytes, return code: 200, depth: 2
URL: http://www.kids.gov/, time: 2013-02-15T11:24:49.939515, size: 18318 bytes, return code: 200, depth: 2
URL: http://business.usa.gov, time: 2013-02-15T11:24:55.878108, size: 105462 bytes, return code: 200, depth: 2
URL: http://apps.usa.gov/studentaid-gov.shtml, time: 2013-02-15T11:24:56.573040, size: 23922 bytes, return code: 200, depth: 2
URL: http://apps.usa.gov/, time: 2013-02-15T11:24:59.672183, size: 17994 bytes, return code: 200, depth: 2
URL: http://m.usa.gov/, time: 2013-02-15T11:25:00.241257, size: 5444 bytes, return code: 200, depth: 2
URL: http://www.leadership.opm.gov/AboutUs/index.aspx, time: 2013-02-15T11:25:00.810614, size: 72389 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/certificates/index.aspx, time: 2013-02-15T11:26:37.879951, size: 74225 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/ExecutiveMaster/index.aspx, time: 2013-02-15T11:28:33.575154, size: 72535 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/HowToRegister/index.aspx, time: 2013-02-15T11:30:02.866007, size: 72540 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/Custom/agency/index.aspx, time: 2013-02-15T11:31:37.078246, size: 74161 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/Coaching/index.aspx, time: 2013-02-15T11:33:30.930902, size: 71312 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/ManagementConf/index.aspx, time: 2013-02-15T11:35:52.142791, size: 73048 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/Locations/index.aspx, time: 2013-02-15T11:37:29.943539, size: 73596 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/AboutUs/index.aspx, time: 2013-02-15T11:39:02.431629, size: 71655 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/Faculty/index.aspx, time: 2013-02-15T11:40:23.356019, size: 68964 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/LDS/index.aspx, time: 2013-02-15T11:40:23.851429, size: 72178 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/Custom/index.aspx, time: 2013-02-15T11:40:24.362429, size: 69779 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/Programs/index.aspx, time: 2013-02-15T11:40:24.750134, size: 69459 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/LEAD/index.aspx, time: 2013-02-15T11:40:25.263493, size: 72084 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/SESOnboarding/index.aspx, time: 2013-02-15T11:40:25.784708, size: 69597 bytes, return code: 200, depth: 3
URL: http://www.leadership.opm.gov/fei/Global/index.aspx, time: 2013-02-15T11:40:26.170908, size: 68458 bytes, return code: 200, depth: 3
URL: http://twitter.com/USOPM, time: 2013-02-15T11:40:27.850735, size: 208949 bytes, return code: 200, depth: 3
URL: http://www.regulations.gov/#!home, time: 2013-02-15T11:41:35.783857, size: 2050 bytes, return code: 200, depth: 3
URL: https://apps.opm.gov/deathinservice/index.cfm, time: 2013-02-15T11:41:36.531930, size: 17854 bytes, return code: 200, depth: 3
URL: https://apps.opm.gov/retire/death/death.cfm, time: 2013-02-15T11:41:39.712731, size: 41623 bytes, return code: 200, depth: 3
URL: http://www.youtube.com/, time: 2013-02-15T11:43:00.749458, size: 116475 bytes, return code: 200, depth: 3
URL: http://www.youtube.com/upload, time: 2013-02-15T11:43:10.555812, size: 75451 bytes, return code: 200, depth: 3
URL: http://www.feb.gov/accessibility.asp, time: 2013-02-15T11:43:10.780612, size: 9935 bytes, return code: 200, depth: 3
URL: http://www.feb.gov/Privacy.asp, time: 2013-02-15T11:43:11.105962, size: 12215 bytes, return code: 200, depth: 3
URL: http://www.feb.gov/acrobat.asp, time: 2013-02-15T11:43:11.600697, size: 12913 bytes, return code: 200, depth: 3
URL: http://www.baltimore.feb.gov, time: 2013-02-15T11:43:12.696750, size: 37495 bytes, return code: 200, depth: 3
