Listing all pages crawled in BFS order for query: love, for n: 500
URL: https://twitter.com/search?lang=pl, time: 2013-02-15T11:06:35.443926, size: 72587 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=pt, time: 2013-02-15T11:06:37.102074, size: 72162 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=fi, time: 2013-02-15T11:06:38.356483, size: 72384 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=sv, time: 2013-02-15T11:06:39.554993, size: 72102 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=tr, time: 2013-02-15T11:06:40.830312, size: 72383 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=ca, time: 2013-02-15T11:06:41.995340, size: 72226 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=fr, time: 2013-02-15T11:06:43.138258, size: 72507 bytes, return code: 200, depth: 1
URL: https://twitter.com/search?lang=cs, time: 2013-02-15T11:06:44.770041, size: 72337 bytes, return code: 200, depth: 1
URL: https://support.twitter.com, time: 2013-02-15T11:06:45.195240, size: 8429 bytes, return code: 200, depth: 1
URL: http://blog.twitter.com, time: 2013-02-15T11:06:52.758809, size: 110962 bytes, return code: 200, depth: 1
URL: http://status.twitter.com, time: 2013-02-15T11:06:57.437841, size: 22190 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/en/advertise/start, time: 2013-02-15T11:06:59.006059, size: 23310 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/index_en.html, time: 2013-02-15T11:07:06.715503, size: 6968 bytes, return code: 200, depth: 1
URL: http://media.twitter.com, time: 2013-02-15T11:07:08.202201, size: 19118 bytes, return code: 200, depth: 1
URL: https://dev.twitter.com, time: 2013-02-15T11:07:08.655356, size: 12670 bytes, return code: 200, depth: 1
URL: http://t.co/mBCKAiMv, time: 2013-02-15T11:07:08.748557, size: 147 bytes, return code: 200, depth: 1
URL: http://www.learnersdictionary.com/practice/index.htm, time: 2013-02-15T11:07:09.286588, size: 17370 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/search/free love, time: 2013-02-15T11:07:17.163059, size: 34559 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/search/puppy love, time: 2013-02-15T11:07:32.576048, size: 22306 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/search/dear, time: 2013-02-15T11:07:39.732179, size: 23529 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/search/fair[1], time: 2013-02-15T11:07:42.718957, size: 32869 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/search/labor[1], time: 2013-02-15T11:07:45.359688, size: 24455 bytes, return code: 200, depth: 2
URL: http://itunes.apple.com/us/app/learners-dictionary-english/id522468643?mt=8, time: 2013-02-15T11:07:47.807203, size: 44018 bytes, return code: 200, depth: 2
URL: http://itunes.apple.com/us/app/learners-dictionary-english/id522474516?mt=8, time: 2013-02-15T11:07:54.474808, size: 48252 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/quiz/index.html, time: 2013-02-15T11:07:56.445940, size: 16895 bytes, return code: 200, depth: 2
URL: http://twitter.com/MWforLearners, time: 2013-02-15T11:07:58.717846, size: 207578 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/shop/index.htm, time: 2013-02-15T11:07:59.104571, size: 26929 bytes, return code: 200, depth: 2
URL: http://www.learnersdictionary.com/downloads/index.htm, time: 2013-02-15T11:07:59.351252, size: 23208 bytes, return code: 200, depth: 2
URL: http://www.m-w.com/, time: 2013-02-15T11:07:59.987213, size: 37284 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/home.html, time: 2013-02-15T11:08:00.112879, size: 6835 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/games.html, time: 2013-02-15T11:08:00.282803, size: 7957 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/edu/index.htm, time: 2013-02-15T11:08:01.286814, size: 8898 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/browse/ABC, time: 2013-02-15T11:08:02.766330, size: 9699 bytes, return code: 200, depth: 2
URL: http://adserver.adtechus.com/adlink/3.0/5308.1/1371366/0/170/ADTECH;loc=300, time: 2013-02-15T11:08:06.275276, size: 19148 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/cgi-bin/thesaurus?book=Thesaurus&va=love, time: 2013-02-15T11:08:06.767098, size: 7504 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/cgi-bin/rhyming?std=student_clean&tgt=results&rh=love, time: 2013-02-15T11:08:07.113482, size: 4563 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/browse/love, time: 2013-02-15T11:08:07.600655, size: 10122 bytes, return code: 200, depth: 2
URL: http://www.wordcentral.com/cgi-bin/student?book=Student&va=darling, time: 2013-02-15T11:08:08.101869, size: 6500 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/help/accessibility.html, time: 2013-02-15T11:08:10.045428, size: 61750 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/, time: 2013-02-15T11:08:11.637114, size: 82344 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/marketing?promoid=JOLIT, time: 2013-02-15T11:08:12.351841, size: 131710 bytes, return code: 200, depth: 2
URL: http://html.adobe.com/edge/?promoid=KAGMS, time: 2013-02-15T11:08:12.593264, size: 14691 bytes, return code: 200, depth: 2
URL: http://gaming.adobe.com/?promoid=KAUCG, time: 2013-02-15T11:08:13.303080, size: 27787 bytes, return code: 200, depth: 2
URL: http://www.echosign.com?promoid=KAUDB, time: 2013-02-15T11:08:13.685013, size: 55721 bytes, return code: 200, depth: 2
URL: https://www.acrobat.com?promoid=KAUDC, time: 2013-02-15T11:08:14.414673, size: 664 bytes, return code: 200, depth: 2
URL: http://html.adobe.com?promoid=JZEFF, time: 2013-02-15T11:08:14.566456, size: 16559 bytes, return code: 200, depth: 2
URL: http://helpx.adobe.com/support/?promoid=KAWQK, time: 2013-02-15T11:08:14.906335, size: 86963 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/support/programs/?promoid=JZEFM, time: 2013-02-15T11:08:15.333577, size: 76003 bytes, return code: 200, depth: 2
URL: http://helpx.adobe.com/support/?promoid=JZEFP, time: 2013-02-15T11:08:15.602774, size: 86963 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/support/certification/?promoid=KAUDM, time: 2013-02-15T11:08:16.304559, size: 17739 bytes, return code: 200, depth: 2
URL: http://labs.adobe.com/?promoid=JZEFQ, time: 2013-02-15T11:08:17.090553, size: 23251 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/downloads/?promoid=KAWQL, time: 2013-02-15T11:08:17.663839, size: 107668 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/downloads/?promoid=JZEFS, time: 2013-02-15T11:08:18.311699, size: 107668 bytes, return code: 200, depth: 2
URL: http://get.adobe.com/flashplayer/?promoid=JZEFT, time: 2013-02-15T11:08:19.180130, size: 60901 bytes, return code: 200, depth: 2
