Listing all pages crawled in BFS order for query: happyhourmanhatton, for n: 30
number of files: 0, total size: 0.0 MB, total time: 3.6e-05 seconds, number of 404 errors: 0
Listing all pages crawled in BFS order for query: happy, for n: 30
URL: http://www.forbes.com/sites/johnnosta/2013/02/01/cancer-innovation-and-a-boy-named-jack/, time: 2013-02-15T14:57:07.920594, size: 113294 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/lists/, time: 2013-02-15T14:57:31.501918, size: 91208 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/most-promising-companies/, time: 2013-02-15T14:57:51.322050, size: 51679 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/top-colleges/, time: 2013-02-15T14:57:55.695448, size: 57604 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/forbes-400, time: 2013-02-15T14:57:55.861605, size: 58990 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/powerful-people/, time: 2013-02-15T14:57:55.950342, size: 56729 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/celebrities, time: 2013-02-15T14:57:56.110618, size: 55831 bytes, return code: 200, depth: 1
URL: http://www.forbes.com/sites/simonmontlake/2013/02/13/cat-scammed-how-a-u-s-corporation-blew-half-a-billion-in-china/, time: 2013-02-15T14:58:02.583556, size: 92116 bytes, return code: 200, depth: 1
URL: http://www.realclearsports.com/, time: 2013-02-15T14:58:04.971473, size: 69260 bytes, return code: 200, depth: 1
URL: http://blogs.forbes.com/account/, time: 2013-02-15T14:58:16.474894, size: 54191 bytes, return code: 200, depth: 1
URL: http://aaronshapiro.com/, time: 2013-02-15T14:58:19.730565, size: 21696 bytes, return code: 200, depth: 1
