Listing all pages crawled in BFS order for query: suel, for n: 500
URL: https://twitter.com/tos, time: 2013-02-17T20:24:12.170703, size: 32577 bytes, return code: 200, depth: 1
URL: http://my.poly.edu, time: 2013-02-17T20:24:12.591623, size: 239 bytes, return code: 200, depth: 2
URL: http://www.poly.edu/life/campus, time: 2013-02-17T20:24:12.723269, size: 18743 bytes, return code: 200, depth: 2
URL: http://blog.twitter.com, time: 2013-02-17T20:24:13.271449, size: 110962 bytes, return code: 200, depth: 1
URL: https://twitter.com/privacy, time: 2013-02-17T20:24:13.883870, size: 24737 bytes, return code: 200, depth: 1
URL: https://www.bloombergsports.com/, time: 2013-02-17T20:24:14.143462, size: 11430 bytes, return code: 200, depth: 1
URL: http://www.wizards.com/dnd/secretdoor.asp, time: 2013-02-17T20:24:15.768126, size: 82525 bytes, return code: 200, depth: 1
URL: http://status.twitter.com, time: 2013-02-17T20:24:16.359155, size: 22190 bytes, return code: 200, depth: 1
URL: http://www.bloombergblack.com, time: 2013-02-17T20:24:17.528329, size: 11025 bytes, return code: 200, depth: 1
URL: https://twitter.com/download, time: 2013-02-17T20:24:18.239638, size: 70668 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/quote/INDU:IND, time: 2013-02-17T20:24:18.944515, size: 119672 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/quote/NKY:IND, time: 2013-02-17T20:24:19.675616, size: 110887 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/news/, time: 2013-02-17T20:24:20.653319, size: 145854 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/sustainability/, time: 2013-02-17T20:24:21.309529, size: 120319 bytes, return code: 200, depth: 1
URL: https://plus.google.com/share?url=http%3A%2F%2Fwww.bloomberg.com%2Fquote%2FSUEL%3AIN, time: 2013-02-17T20:24:22.519432, size: 72864 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/quote/SUEL:IN/news, time: 2013-02-17T20:24:22.757422, size: 102191 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/en/advertise/start, time: 2013-02-17T20:24:22.916932, size: 23310 bytes, return code: 200, depth: 1
URL: https://twitter.com/share?url=http%3A%2F%2Fwww.bloomberg.com%2Fquote%2FSUEL%3AIN&counturl=http%3A%2F%2Fwww.bloomberg.com%2Fquote%2FSUEL%3AIN&text=Latest+quote+for+%24SUEL&via=BloombergNews, time: 2013-02-17T20:24:23.487772, size: 4898 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/quote/SUEL:IN/profile, time: 2013-02-17T20:24:24.277473, size: 91066 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/news/2013-02-04/tata-seeks-investors-for-clean-energy-expansion-corporate-india.html, time: 2013-02-17T20:24:25.931766, size: 151886 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/news/2013-02-14/abb-fourth-quarter-profit-beats-estimates-as-ceo-cuts-costs.html, time: 2013-02-17T20:24:27.415370, size: 137857 bytes, return code: 200, depth: 1
URL: http://inside.bloomberg.com/, time: 2013-02-17T20:24:27.909829, size: 28624 bytes, return code: 200, depth: 1
