Listing all pages crawled in BFS order for query: python, for n: 500
URL: http://code.google.com/p/winpython/, time: 2013-02-15T11:10:01.584266, size: 17661 bytes, return code: 200, depth: 1
URL: http://www.conceptive.be/python-sdk.html, time: 2013-02-15T11:10:05.525343, size: 17810 bytes, return code: 200, depth: 1
URL: http://portablepython.com/, time: 2013-02-15T11:10:05.746885, size: 9904 bytes, return code: 200, depth: 1
URL: https://store.continuum.io/cshop/anaconda, time: 2013-02-15T11:10:06.292461, size: 33904 bytes, return code: 200, depth: 1
URL: http://bugs.python.org/, time: 2013-02-15T11:10:07.325759, size: 31968 bytes, return code: 200, depth: 1
URL: http://www.gnupg.org/, time: 2013-02-15T11:10:08.884503, size: 11650 bytes, return code: 200, depth: 1
URL: http://docs.python.org/, time: 2013-02-15T11:10:10.710054, size: 9006 bytes, return code: 200, depth: 1
URL: http://docs.python.org/3/download.html, time: 2013-02-15T11:10:11.106941, size: 6767 bytes, return code: 200, depth: 1
URL: http://www.opensource.org/, time: 2013-02-15T11:10:11.750866, size: 14049 bytes, return code: 200, depth: 1
URL: http://docs.python.org/genindex.html, time: 2013-02-15T11:10:12.848728, size: 7864 bytes, return code: 200, depth: 1
URL: http://docs.python.org/py-modindex.html, time: 2013-02-15T11:10:17.373379, size: 112470 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/appetite.html, time: 2013-02-15T11:10:18.006488, size: 10707 bytes, return code: 200, depth: 1
URL: http://docs.python.org/whatsnew/2.0.html, time: 2013-02-15T11:10:20.542872, size: 123704 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/#the-python-tutorial, time: 2013-02-15T11:10:21.406100, size: 25050 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/interpreter.html, time: 2013-02-15T11:10:22.387297, size: 27423 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/introduction.html, time: 2013-02-15T11:10:23.563434, size: 60625 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/controlflow.html, time: 2013-02-15T11:10:24.900410, size: 71064 bytes, return code: 200, depth: 1
