Listing all pages crawled in BFS order for query: fortran, for n: 500
URL: http://dmoz.org/Computers/Programming/Languages/Fortran/Tools/Code_Analysis/, time: 2013-02-15T12:05:36.013001, size: 21083 bytes, return code: 200, depth: 1
URL: http://fun3d.larc.nasa.gov/, time: 2013-02-15T12:05:36.272076, size: 40348 bytes, return code: 200, depth: 1
URL: http://physics.nist.gov/cuu/Constants/index.html, time: 2013-02-15T12:05:36.566640, size: 11727 bytes, return code: 200, depth: 1
URL: http://www.winteracter.com/f2kcli/, time: 2013-02-15T12:05:36.816099, size: 881 bytes, return code: 200, depth: 1
URL: http://www.bradassoc.co.uk, time: 2013-02-15T12:05:37.187845, size: 316 bytes, return code: 200, depth: 1
URL: http://www.gridforum.org/, time: 2013-02-15T12:05:37.651956, size: 12558 bytes, return code: 200, depth: 1
URL: http://www.globus.org/, time: 2013-02-15T12:05:37.842090, size: 6820 bytes, return code: 200, depth: 1
URL: http://gams.nist.gov/, time: 2013-02-15T12:05:38.100668, size: 4606 bytes, return code: 200, depth: 1
URL: http://www.geom.umn.edu/software/cglist/, time: 2013-02-15T12:05:45.253804, size: 4598 bytes, return code: 200, depth: 1
URL: http://www.cs.uu.nl/wais/html/na-dir/graphics/algorithms-faq.html, time: 2013-02-15T12:05:46.716355, size: 169357 bytes, return code: 200, depth: 1
URL: http://www.faqs.org/faqs/graphics/algorithms-faq/, time: 2013-02-15T12:05:47.553896, size: 191759 bytes, return code: 200, depth: 1
URL: http://www.cray.com/products/software/cf90.html, time: 2013-02-15T12:05:48.259710, size: 15261 bytes, return code: 200, depth: 1
URL: http://www.dmoz.org/Computers/Programming/Languages/Fortran/Source_Code/Partial_Differential_Equations/Finite_Elements/, time: 2013-02-15T12:05:48.989270, size: 16429 bytes, return code: 200, depth: 1
URL: http://www-rocq.inria.fr/modulef/english.html, time: 2013-02-15T12:05:50.462330, size: 2364 bytes, return code: 200, depth: 1
URL: http://solon.cma.univie.ac.at/%7Eneum/glopt.html, time: 2013-02-15T12:05:50.969113, size: 18900 bytes, return code: 200, depth: 1
URL: http://www.gino-graphics.com/, time: 2013-02-15T12:05:51.296298, size: 5888 bytes, return code: 200, depth: 1
URL: http://www.nsc.liu.se/%7Eboein/f77to90/a7.html, time: 2013-02-15T12:05:53.472157, size: 13434 bytes, return code: 200, depth: 1
URL: http://www.fh-jena.de/%7Ekleine/history/, time: 2013-02-15T12:05:54.432482, size: 20576 bytes, return code: 200, depth: 1
URL: http://www.utm.edu/research/primes/howmany.shtml, time: 2013-02-15T12:05:54.934976, size: 30485 bytes, return code: 200, depth: 1
URL: http://www.cse.clrc.ac.uk/Activity/HSL, time: 2013-02-15T12:05:55.883588, size: 386 bytes, return code: 200, depth: 1
URL: http://www.vni.com/products/imsl/alphabetized_functions.html, time: 2013-02-15T12:05:56.621398, size: 38428 bytes, return code: 200, depth: 1
