Listing all pages crawled in BFS order for query: searchengines, for n: 500
URL: http://searchengineland.com/tv-news-archive-for-chrismatt-147750, time: 2013-02-17T20:43:18.449362, size: 106951 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/googles-enhanced-campaigns-inspire-love-hate-and-hope-for-the-next-version-147896, time: 2013-02-17T20:43:18.617412, size: 120845 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/author/josh-dreller, time: 2013-02-17T20:43:20.173386, size: 88906 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/deep-dive-into-bing-webmaster-tools-part-3-wrap-up-148545#comments, time: 2013-02-17T20:43:20.483745, size: 111969 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/author/matt-lawson, time: 2013-02-17T20:43:21.217279, size: 84342 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/6-advanced-strategies-for-optimizing-pla-campaigns-147836#comments, time: 2013-02-17T20:43:21.772620, size: 115257 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/author/barbara-starr, time: 2013-02-17T20:43:23.506853, size: 77829 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/how-leveraging-data-quality-in-google-shopping-can-increase-product-sales-148189#comments, time: 2013-02-17T20:43:23.803537, size: 113842 bytes, return code: 200, depth: 1
URL: http://sports.search.yahoo.com/;_ylt=A0oG7pHvhiFRTzoA2Eml87UF?ei=UTF-8&fr2=tab-web&fr=altavista, time: 2013-02-17T20:43:25.753204, size: 11616 bytes, return code: 200, depth: 1
URL: http://dir.search.yahoo.com/;_ylt=A0oG7pHvhiFRTzoA10ml87UF?ei=UTF-8&fr2=tab-web&fr=altavista, time: 2013-02-17T20:43:25.766470, size: 11555 bytes, return code: 200, depth: 1
URL: http://finance.search.yahoo.com/;_ylt=A0oG7pHvhiFRTzoA2Uml87UF?ei=UTF-8&fr2=tab-web&fr=altavista, time: 2013-02-17T20:43:25.786538, size: 13285 bytes, return code: 200, depth: 1
URL: http://blog.search.yahoo.com/;_ylt=A0oG7pHvhiFRTzoA2kml87UF?ei=UTF-8&fr2=tab-web&fr=altavista, time: 2013-02-17T20:43:26.059083, size: 11569 bytes, return code: 200, depth: 1
URL: http://us.yhs4.search.yahoo.com/web/advanced?ei=UTF-8&fr=altavista, time: 2013-02-17T20:43:26.506101, size: 17642 bytes, return code: 200, depth: 1
URL: http://www.excite.com, time: 2013-02-17T20:43:26.602138, size: 87498 bytes, return code: 200, depth: 1
URL: http://twitter.com/sengineland, time: 2013-02-17T20:43:28.940683, size: 268626 bytes, return code: 200, depth: 1
URL: http://www.bing.com/maps/?FORM=Z9LH2, time: 2013-02-17T20:43:29.515775, size: 130953 bytes, return code: 200, depth: 1
URL: http://advertising.yahoo.com/, time: 2013-02-17T20:43:30.418275, size: 149323 bytes, return code: 200, depth: 1
URL: http://searchengineland.tumblr.com, time: 2013-02-17T20:43:31.750687, size: 97193 bytes, return code: 200, depth: 1
URL: http://help.yahoo.com/l/us/yahoo/search/basics/basics-23.html, time: 2013-02-17T20:43:32.152071, size: 52881 bytes, return code: 200, depth: 1
URL: http://pinterest.com/sengineland/, time: 2013-02-17T20:43:32.432944, size: 92292 bytes, return code: 200, depth: 1
URL: http://www.msn.com/, time: 2013-02-17T20:43:32.461592, size: 117819 bytes, return code: 200, depth: 1
URL: https://www.google.com/producer/editions/CAowtcoj/search_engine_land, time: 2013-02-17T20:43:32.942468, size: 39546 bytes, return code: 200, depth: 1
URL: http://www.recoll.org, time: 2013-02-17T20:43:33.120764, size: 10678 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/searchcap, time: 2013-02-17T20:43:33.607149, size: 73995 bytes, return code: 200, depth: 1
URL: http://www.go.com, time: 2013-02-17T20:43:34.013816, size: 58134 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/recent-comments/, time: 2013-02-17T20:43:35.569816, size: 62933 bytes, return code: 200, depth: 1
URL: http://www.hotbot.com, time: 2013-02-17T20:43:35.776253, size: 11676 bytes, return code: 200, depth: 1
URL: http://commons.wikimedia.org/wiki/Category:Internet_search_engines, time: 2013-02-17T20:43:36.973724, size: 108355 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/advertising-info, time: 2013-02-17T20:43:37.043718, size: 69640 bytes, return code: 200, depth: 1
URL: http://searchmarketingexpo.com/east/?utm_source=tdm-sel&utm_medium=standunit&utm_campaign=smxeast, time: 2013-02-17T20:43:37.395047, size: 39880 bytes, return code: 200, depth: 1
URL: http://searchmarketingexpo.com/west/?utm_source=tdm-sel&utm_medium=standunit&utm_campaign=smxwest, time: 2013-02-17T20:43:37.395184, size: 37908 bytes, return code: 200, depth: 1
URL: http://searchmarketingexpo.com/socialmediamarketing/?utm_source=tdm-sel&utm_medium=standunit&utm_campaign=smxsmm, time: 2013-02-17T20:43:37.729805, size: 35556 bytes, return code: 200, depth: 1
URL: http://www.bing.com/account/general?ru=http%3a%2f%2fwww.bing.com%2f&FORM=SEFD, time: 2013-02-17T20:43:38.096254, size: 31294 bytes, return code: 200, depth: 1
URL: http://www.bing.com/?FORM=HYLH, time: 2013-02-17T20:43:38.126643, size: 38478 bytes, return code: 200, depth: 1
URL: http://mail.live.com/, time: 2013-02-17T20:43:38.929683, size: 10561 bytes, return code: 200, depth: 1
URL: http://searchmarketingexpo.com/london/?utm_source=tdm-sel&utm_medium=standunit&utm_campaign=smxlondon, time: 2013-02-17T20:43:40.319135, size: 36178 bytes, return code: 200, depth: 1
URL: http://www.dmoz.org/Computers/Internet/Searching/Search_Engines/, time: 2013-02-17T20:43:40.912622, size: 29631 bytes, return code: 200, depth: 1
URL: http://searchmarketingexpo.com/go/sydney/?utm_source=tdm-sel&utm_medium=standunit&utm_campaign=smxsydney, time: 2013-02-17T20:43:41.939303, size: 115 bytes, return code: 200, depth: 1
URL: http://www.alltheweb.com, time: 2013-02-17T20:43:42.136304, size: 12281 bytes, return code: 200, depth: 1
URL: http://www.galaxy.com, time: 2013-02-17T20:43:42.287062, size: 22032 bytes, return code: 200, depth: 1
URL: http://digitalmarketingdepot.com/, time: 2013-02-17T20:43:43.279713, size: 39429 bytes, return code: 200, depth: 1
URL: http://digitalmarketingdepot.com/research_report/enterprise-web-analytics-tools-in-the-facebook-era?utm_source=tdm&utm_medium=textlink&utm_campaign=SELsidebar, time: 2013-02-17T20:43:43.503192, size: 47713 bytes, return code: 200, depth: 1
