Listing all pages crawled in BFS order for query: ruby, for n: 500
URL: http://rdoc.sourceforge.net, time: 2013-02-15T11:32:55.615521, size: 3033 bytes, return code: 200, depth: 2
URL: http://www.rubydoc.info/, time: 2013-02-15T11:33:01.771471, size: 20232 bytes, return code: 200, depth: 2
URL: http://railsapi.com/, time: 2013-02-15T11:33:02.360214, size: 46432 bytes, return code: 200, depth: 2
URL: http://apidock.com/, time: 2013-02-15T11:33:02.753434, size: 13348 bytes, return code: 200, depth: 2
URL: http://www.aptana.com/, time: 2013-02-15T11:33:02.978351, size: 10452 bytes, return code: 200, depth: 2
URL: http://www.gnu.org/software/emacs/, time: 2013-02-15T11:33:03.390561, size: 18892 bytes, return code: 200, depth: 2
URL: http://www.emacswiki.org/emacs/RubyMode, time: 2013-02-15T11:33:03.929688, size: 9405 bytes, return code: 200, depth: 2
URL: http://cx4a.org/software/rsense/, time: 2013-02-15T11:33:04.673836, size: 5944 bytes, return code: 200, depth: 2
URL: http://www.geany.org/, time: 2013-02-15T11:33:05.035628, size: 15546 bytes, return code: 200, depth: 2
URL: http://projects.gnome.org/gedit/screenshots.html, time: 2013-02-15T11:33:05.638974, size: 4699 bytes, return code: 200, depth: 2
URL: http://www.vim.org/, time: 2013-02-15T11:33:06.175936, size: 16245 bytes, return code: 200, depth: 2
URL: http://www.scintilla.org/SciTE.html, time: 2013-02-15T11:33:06.587333, size: 8374 bytes, return code: 200, depth: 2
URL: http://notepad-plus-plus.org/, time: 2013-02-15T11:33:07.160633, size: 7567 bytes, return code: 200, depth: 2
URL: http://www.sapphiresteel.com/, time: 2013-02-15T11:33:07.570980, size: 9497 bytes, return code: 200, depth: 2
URL: http://www.barebones.com/products/textwrangler/, time: 2013-02-15T11:33:07.795056, size: 8093 bytes, return code: 200, depth: 2
URL: http://docs.rubygems.org, time: 2013-02-15T11:33:08.209765, size: 3455 bytes, return code: 200, depth: 2
URL: http://rubygems.org/pages/download, time: 2013-02-15T11:33:08.547327, size: 8948 bytes, return code: 200, depth: 2
URL: http://rubygems.org, time: 2013-02-15T11:33:09.392354, size: 9171 bytes, return code: 200, depth: 2
URL: http://rubyforge.org/, time: 2013-02-15T11:33:10.060720, size: 21787 bytes, return code: 200, depth: 2
URL: http://raa.ruby-lang.org/, time: 2013-02-15T11:33:10.730592, size: 11257 bytes, return code: 200, depth: 2
URL: http://guides.rubygems.org, time: 2013-02-15T11:33:11.118311, size: 3709 bytes, return code: 200, depth: 2
URL: http://gembundler.com, time: 2013-02-15T11:33:11.216093, size: 10364 bytes, return code: 200, depth: 2
URL: http://rubymentor.rubyforge.org/, time: 2013-02-15T11:33:11.471628, size: 844 bytes, return code: 200, depth: 2
URL: http://www.rubycentral.org/, time: 2013-02-15T11:33:11.740413, size: 2692 bytes, return code: 200, depth: 2
URL: http://dmoz.org/Computers/Programming/Languages/Ruby/, time: 2013-02-15T11:33:13.435580, size: 23969 bytes, return code: 200, depth: 2
URL: http://dmoz.org/Computers/Programming/Languages/Ruby/Software/Rails/, time: 2013-02-15T11:33:14.032387, size: 21771 bytes, return code: 200, depth: 2
URL: http://confoo.ca/en/2013/schedule, time: 2013-02-15T11:33:14.706287, size: 88704 bytes, return code: 200, depth: 2
URL: http://confoo.ca/en/register, time: 2013-02-15T11:33:15.935481, size: 12289 bytes, return code: 200, depth: 2
URL: http://preview.ruby-lang.org/en/news/2012/10/12/poisoned-NUL-byte-vulnerability/, time: 2013-02-15T11:33:16.903284, size: 7370 bytes, return code: 200, depth: 2
URL: http://www.rubyist.net/~matz/, time: 2013-02-15T11:33:31.380568, size: 46576 bytes, return code: 200, depth: 2
URL: http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-talk/2773, time: 2013-02-15T11:33:53.431535, size: 4891 bytes, return code: 200, depth: 2
URL: http://www.linuxdevcenter.com/pub/a/linux/2001/11/29/ruby.html, time: 2013-02-15T11:33:59.277736, size: 36479 bytes, return code: 200, depth: 2
URL: http://www.artima.com/intv/closures2.html, time: 2013-02-15T11:33:59.526381, size: 14712 bytes, return code: 200, depth: 2
URL: https://speakerdeck.com/a_matsuda/ruby-2-dot-0-on-rails, time: 2013-02-15T11:33:59.902520, size: 12768 bytes, return code: 200, depth: 2
URL: http://globaldev.co.uk/2012/11/ruby-2-0-0-preview-features/, time: 2013-02-15T11:34:00.054347, size: 23923 bytes, return code: 200, depth: 2
URL: http://www.infoq.com/news/2012/11/ruby-20-preview1, time: 2013-02-15T11:34:00.410242, size: 104241 bytes, return code: 200, depth: 2
URL: http://timelessrepo.com/refinements-in-ruby, time: 2013-02-15T11:34:00.619881, size: 25633 bytes, return code: 200, depth: 2
URL: http://el.jibun.atmarkit.co.jp/rails/2012/11/ruby-20-8256.html, time: 2013-02-15T11:34:02.213063, size: 62749 bytes, return code: 200, depth: 2
URL: https://speakerdeck.com/nagachika/rubyist-enumeratorlazy, time: 2013-02-15T11:34:02.755231, size: 13028 bytes, return code: 200, depth: 2
URL: http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-dev/46547, time: 2013-02-15T11:34:03.496057, size: 6791 bytes, return code: 200, depth: 2
