Listing all pages crawled in BFS order for query: C, for n: 500
URL: http://www.google.com/finance/portfolio?action=add&addticker=NYSE%3AC&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:42.359536, size: 85405 bytes, return code: 200, depth: 1
URL: http://www.google.com/calendar/event?ei=h1weUeC1N7Gq0AHCfg&hl=en&action=TEMPLATE&text=Q1+2013+Citigroup+Inc.+Earnings+Release&dates=20130415/20130415&sprop=finance, time: 2013-02-15T11:18:43.203673, size: 75127 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance/similar?q=NYSE:C&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:44.371800, size: 101581 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance?catid=us-58211593&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:45.383530, size: 136751 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance?catid=us-63765713&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:45.925555, size: 131716 bytes, return code: 200, depth: 1
URL: http://www.google.com.hk/finance?ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:46.943343, size: 125412 bytes, return code: 200, depth: 1
URL: http://www.google.ca/finance?ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:47.374446, size: 106424 bytes, return code: 200, depth: 1
URL: http://www.google.com.hk/finance?hl=zh-CN&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:47.941554, size: 140809 bytes, return code: 200, depth: 1
URL: http://www.google.co.uk/finance?ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:48.879982, size: 118964 bytes, return code: 200, depth: 1
URL: http://www.google.com/intl/en/googlefinance/disclaimer/?ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:49.003168, size: 21160 bytes, return code: 200, depth: 1
URL: http://www.google.com?hl=en&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:49.223776, size: 95444 bytes, return code: 200, depth: 1
URL: http://googlefinanceblog.blogspot.com?ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:49.737335, size: 127941 bytes, return code: 200, depth: 1
