Listing all pages crawled in BFS order for query: C, for n: 500
URL: https://twitter.com/, time: 2013-02-17T20:05:11.400509, size: 74298 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=es, time: 2013-02-17T20:05:14.445603, size: 237980 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=de, time: 2013-02-17T20:05:14.602518, size: 238727 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/File:C-programming-language-fist-edition-cover.svg, time: 2013-02-17T20:05:14.824458, size: 35476 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=eu, time: 2013-02-17T20:05:16.212357, size: 238260 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/The_C_Programming_Language, time: 2013-02-17T20:05:16.733839, size: 39789 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=it, time: 2013-02-17T20:05:18.891074, size: 239043 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Programming_paradigm, time: 2013-02-17T20:05:20.417661, size: 111504 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=nl, time: 2013-02-17T20:05:20.807250, size: 239549 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Procedural_programming, time: 2013-02-17T20:05:21.459226, size: 57528 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=pl, time: 2013-02-17T20:05:22.954403, size: 238372 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=pt, time: 2013-02-17T20:05:25.359791, size: 238688 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Dennis_Ritchie, time: 2013-02-17T20:05:26.303941, size: 102809 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=sv, time: 2013-02-17T20:05:27.652706, size: 237299 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Software_developer, time: 2013-02-17T20:05:28.283717, size: 49063 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=tr, time: 2013-02-17T20:05:29.475392, size: 238843 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Bell_Labs, time: 2013-02-17T20:05:30.935143, size: 183502 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/C11_(C_standard_revision), time: 2013-02-17T20:05:32.877336, size: 52242 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=el, time: 2013-02-17T20:05:33.381986, size: 247874 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Type_system, time: 2013-02-17T20:05:34.936910, size: 138883 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=uk, time: 2013-02-17T20:05:35.633484, size: 246294 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Nominative_type_system, time: 2013-02-17T20:05:36.067733, size: 31064 bytes, return code: 200, depth: 1
